angeline;Theresine;;;;;;;;;;;;;x
angeline_DESC;The Theresines, emerged after the Ursuline order became the main expression of catholicism in Quebecr. However, they live very different lives from their Ursuline cousins. Whereas the Ursulines emphasize the monastic lifestyle and the primacy of the Church, Theresines more strongly favor cohabitation with the natural world. They diverge in the use of The Lisieux Rite, innovating mainly in practices if not wholly in beliefs, due to the influence of other faiths near itself. The adherents of the rite believe that the natural world is inhabited by holy spirits, as a creation of God, and thus strive the most to take care of it. The temples of the faith are surrounded with beautiful gardens, and it's considered a sin to be wasteful and needlessly harm nature. More controversially the nuns engage in ecstatic rituals where they allow themselves to be possessed by the spirits of angels, saints and, even more rarely, demons, in order to seek aid, counsel regarding earthly matters, and strengthen their faith.;;;;;;;;;;;;;x

apostolic;Aparecidan;;;;;;;;;;;;x
apostolic_DESC;Aparecidans are heirs to the Catholic Church in Brazil, the predominant religion of the country for much of its history. Initially uniting under the Patriarch of South America and the Particularists, controversies surrounding the the Particularists openly sanctioning certain folk practices and disputes regarding the very existance of the Patriarchy led to many Brazilian bishops officially repudiating the authority of the Patriarch during the Council of Aparecida. Now effectively self-governing, Aparecidans claim to adhere more closely to the ancient traditions of the Catholic Church while still having influences from their own Brazilian folk traditions.;;;;;;;;;;;;;x
apostolic_FEATURES;§Y*§! Adherents can become followers of one of three specific saint-patrons.;;;;;;;;;;;;x

salazar_desc;This former Captain General of Yucatán shocked evyerone by suddendly converting to Neomayanism, and seizing the chaos after the Battle of Ojinaga by joining the plan to declare independence from the Mexican Empire.;;;;;;;;;;;;x

ARCHBISHOP_OF_CANTERBURY;Primate of Canada;;;;;;;;;;;;;x
ARCHBISHOP;Primate;;;;;;;;;;;;;x
ARCHBISHOPRIC_OF;Primate of;;;;;;;;;;;;;x
