#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
########### NEW MAP ADDED BY LUIS
PROV2271;Isla del Carmen;;;;;;;;;x
PROV2272;Isla Tiburon;;;;;;;;;x
PROV2273;Isla Angel de la Guarda;;;;;;;;;x
PROV2274;Isla San Esteban;;;;;;;;;x
PROV2275;Isla San Lorenzo;;;;;;;;;x
PROV2276;Payne;;;;;;;;;x 
PROV2277;Sisal;;;;;;;;;x
PROV2278;Motul;;;;;;;;;x
PROV2279;Ticul;;;;;;;;;x
PROV2280;Tizimín;;;;;;;;;x
PROV2281;Espita;;;;;;;;;x
PROV2282;Solferino;;;;;;;;;x
PROV2283;Holbox;;;;;;;;;x
PROV2284;Isla Mujeres;;;;;;;;;x
PROV2285;Río Bravo;;;;;;;;;x
PROV2286;Río Bravo;;;;;;;;;x
PROV2287;Uxmal;;;;;;;;;x
PROV2288;Puuc;;;;;;;;;x
PROV2289;Cochuah;;;;;;;;;x
PROV2290;Santa Cruz;;;;;;;;;x
PROV2291;Costa Maya;;;;;;;;;x
PROV2292;Corozal;;;;;;;;;x
PROV2293;Shipstern;;;;;;;;;x
PROV2294;Cayo;;;;;;;;;x
PROV2295;Stann Creek;;;;;;;;;x
PROV2296;Macal;;;;;;;;;x
PROV2297;Belmopan;;;;;;;;;x
PROV2298;Orange Walk;;;;;;;;;x
PROV2299;Ambergris;;;;;;;;;x
PROV2300;Dolores;;;;;;;;;x
PROV2301;Machaquilá;;;;;;;;;x
PROV2302;Las Cruces;;;;;;;;;x
PROV2303;Lacatun;;;;;;;;;x
PROV2304;Salpetén;;;;;;;;;x
PROV2305;Sacpuy;;;;;;;;;x
PROV2306;Palenque;;;;;;;;;x
PROV2307;Ocosingo;;;;;;;;;x
PROV2308;Camino Real;;;;;;;;;x
PROV2309;Dzibalchen;;;;;;;;;x
PROV2310;Put;;;;;;;;;x
PROV2311;Selva Maya;;;;;;;;;x
PROV2312;Selva Maya;;;;;;;;;x
PROV2313;Selva Maya;;;;;;;;;x
PROV2314;Selva Maya;;;;;;;;;x
PROV2315;Selva Maya;;;;;;;;;x
PROV2316;Maya Mountains;;;;;;;;;x
PROV2317;Comalapa;;;;;;;;;x
PROV2318;La Concordia;;;;;;;;;x
PROV2319;Chamula;;;;;;;;;x
PROV2320;Amatenango del Valle;;;;;;;;;x
PROV2321;Roswell;;;;;;;;;x #Central Sea of Cortes
PROV1627;Central Sea of Cortes;;;;;;;;;x #Owikeno Lake
PROV1728;Owikeno Lake;;;;;;;;;x #Roswell
PROV1729;Laguna Nichupté;;;;;;;;;x #Payne 
PROV2322;Laguna Bacalar;;;;;;;;;x 
PROV2323;Barracouta Pond;;;;;;;;;x 
PROV2324;Progresso Lagoon;;;;;;;;;x 
PROV2325;Laguna Rosada;;;;;;;;;x 
PROV2326;Laguna Noh-Bec;;;;;;;;;x 
PROV2327;Laguna Chunyaxché;;;;;;;;;x 
PROV2328;Laguna Chichankanab;;;;;;;;;x
PROV2329;Reynosa;;;;;;;;;x 
PROV2330;Brazo del Benemérito;;;;;;;;;x 
PROV2331;Punta de Lampazos;;;;;;;;;x
d_chetumal;Chetumal;Chetumal;Chetumal;;Chetumal;;;;;;;;;x
c_corozal;Corozal;Corozal;Corozal;;Corozal;;;;;;;;;x
b_corozal_BL;Corozal;Corozal;Corozal;;Corozal;;;;;;;;;x
b_santa_elena_BL;Santa Elena;Santa Elena;Santa Elena;;Santa Elena;;;;;;;;;x
b_chan_chen_BL;Chanchén;Chanchen;Chanchen;;Chanchen;;;;;;;;;x
b_carmelita_PT;Carmelita;;;;;;;;;;;;;x
b_la_joyanca_PT;La Joyanca;;;;;;;;;;;;;x
b_zapote_bobal_PT;Zapote Bobal;;;;;;;;;;;;;x
b_el_naranjo_PT;El Naranjo;;;;;;;;;;;;;x
b_peru_PT;Perú;;;;;;;;;;;;;x
b_santa_amelia_PT;Santa Amelia;;;;;;;;;;;;;x
b_paso_caballos_PT;Paso Caballos;;;;;;;;;;;;;x
b_cruce_dos_aguadas_PT;Cruce Dos Aguadas;;;;;;;;;;;;;x
b_yaxha_PT;Yaxhá;;;;;;;;;;;;;x
b_uaxactun_PT;Uaxactún;;;;;;;;;;;;;x
b_naranjo_PT;Naranjo;;;;;;;;;;;;;x
b_nakum_PT;Nakum;;;;;;;;;;;;;x
b_melchor_de_mencos_PT;Melchor de Mencos;;;;;;;;;;;;;x
b_zotz_PT;Zotz;;;;;;;;;;;;;x
b_tikal_PT;Tikal;;;;;;;;;;;;;x
c_calakmul;Calakmul;;;;;;;;;;;;;x
c_calakmul_adj;Calakmulean;;;;;;;;;;;;;x
b_calakmul_CM;Calakmul;;;;;;;;;;;;;x
b_becan_CM;Becan;;;;;;;;;;;;;x
b_chicanna_CMM;Chicanná;;;;;;;;;;;;;x
b_naachtun_CM;Naachtún;;;;;;;;;;;;;x
b_zoh_laguna_CM;Zoh Laguna;;;;;;;;;;;;;x
b_rio_bec_CM;Río Bec;;;;;;;;;;;;;x
b_chacanhacam_CM;Chacanhacam;;;;;;;;;;;;;x
b_xpujil_CM;Xpujil;;;;;;;;;;;;;x
c_put;Put;;;;;;;;;;;;;x
c_put_adj;Putean;;;;;;;;;;;;;x
b_xcanha_CM;Xcanhá;;;;;;;;;;;;;x
b_xmaben_CM;Xmabén;;;;;;;;;;;;;x
b_ukum_CM;Ukum;;;;;;;;;;;;;x
d_nojpeten;Flores;;;;;;;;;;;;;x
d_nojpeten_adj;Floresian;;;;;;;;;;;;;x
b_nojpeten_PT;Flores;;;;;;;;;;;;;x
b_santa_elena_PT;Santa Elena;;;;;;;;;;;;;x
b_san_jose_PT;San José;;;;;;;;;;;;;x
b_el_remate_PT;El Remate;;;;;;;;;;;;;x
b_san_andres_PT;San Andrés;;;;;;;;;;;;;x
b_san_roman_PT;San Román;;;;;;;;;;;;;x
b_ponderosa_PT;Ponderosa;;;;;;;;;;;;;x
c_salpeten;Salpetén;;;;;;;;;;;;;x
c_salpeten_adj;Salpetenian;;;;;;;;;;;;;x
b_san_francisco_PT;San Francisco;;;;;;;;;;;;;x
b_santa_ana_PT;Santa Ana;;;;;;;;;;;;;x
b_san_antonio_PT;San Antonio;;;;;;;;;;;;;x
b_purucila_PT;Purucila;;;;;;;;;;;;;x
