###ÄNSI###
catholic;Conclavist;;;;;;;;;;;;;x
sedevacantist;Diocesan;;;;;;;;;;;;;x
starfolk;Cowpoke;;;;;;;;;;;;;x
fidencista_invite_mystic;Invite a Mystic;;;;;;;;;;;;;x

#La Hermandad
la_hermandad;La Hermandad;;;;;;;;;;;;;x
la_hermandad_DESC;La Hermandad, or “The Brotherhood” is the name commonly used to refer to a group of militant Catholics of Hispanic heritage. Owing its origins to worker’s movements predating the Event, La Hermandad merges Catholicism with a reverence for saints of agriculture and labor, believing that kings should work the fields besides their subjects.;;;;;;;;;;;;;x
GOD_DIOS;Dios;;;;;;;;;;;;;x
GOD_JESUCRISTO;Jesucristo;;;;;;;;;;;;;x
GOD_VIRGENCITA;La Virgencita;;;;;;;;;;;;;x
GOD_CESARCHAVEZ;San César;;;;;;;;;;;;;x
GOD_EL_PUEBLO_UNIDO;El Pueblo Unido;;;;;;;;;;;;;x
SATAN;Satan;;;;;;;;;;;;;x
GOD_EL_DIABLO;El Diablo;;;;;;;;;;;;;x
GOD_LA_MIGRA;La Migra;;;;;;;;;;;;;x
GOD_LOS_COYOTES;Los Coyotes;;;;;;;;;;;;;x
MANIFESTATION;Manifestación;;;;;;;;;;;;;x
THE_BYLAWS;The Bylaws;;;;;;;;;;;;;x

gran_comision;Gran Comisión;;;;;;;;;;;;;x
HERMANO_MAYOR;Hermano Mayor;;;;;;;;;;;;;x 
d_penitente;Cofradía de los Penitentes;;;;;;;;;;;;;x 

launch_consumerist_revolt;Launch Consumerist Revolt;;;;;;;;;x
launch_consumerist_revolt_desc;You may play with the fabric of time and launch a Consumerist Revolt somewhere in the world.;;;;;;;;;x
#Siliconist
siliconist;Siliconist;;;;;;;;;;;;;x
siliconist_DESC;Long before the first spark It was said that all was a part of the grand accordance of the All-Go-Rhythm the song of the Universe composed by the Great Tek the law which binds all together. The Code for which is as old as it is arcane performed as a secret and sacred rite of ?transfer? (Divination). Men who have heard the All-Go-Rhythm Diviners known as Eye-Tee are said to cravenly hold the secrets of the song inside their giant temples called ?Mainframes? which house idols of ?dayta? said to be spirits in service to Tek.;;;;;;;;;;;;;x
GOD_TEK;Tek;;;;;;;;;;;;;x
GOD_ALL-GO-RYTHM;All-Go-Rythm;;;;;;;;;;;;;x
GOD_CHIPTUNE;Chiptune;;;;;;;;;;;;;x
GOD_TECHNI;Techni;;;;;;;;;;;;;x
GOD_DAYTA;Dayta;;;;;;;;;;;;;x
GOD_DISCORDANCE;Discordance;;;;;;;;;;;;;x
GOD_TROJAN;Trojan;;;;;;;;;;;;;x
GOD_WRINGING_BUGS;Wringing Bugs;;;;;;;;;;;;;x
ASSIMILATION;Assimilation;;;;;;;;;;;;;x
THE_ACCORDANCE;The Accordance;;;;;;;;;;;;;x
TECH_PRIEST;Sysadmin;;;;;;;;;;;;;x
d_siliconist;Siliconist High Priesthood;;;;;;;;;;;;;x
VISIONARY;VISIONARY;;;;;;;;;;;;;x
VISIONARY_FEMALE;VISIONARY;;;;;;;;;;;;;x
VISIONARY_FOA;Your Divine Vision;;;;;;;;;;;;;x

#Phantasmic
phantasmic;Phantasmic;;;;;;;;;;;;;x
phantasmic_DESC;Phantasmic is a faith based upon a reverence America and its foremost prophet, Walt. Through his parables and remarkable magical projections, Walt preached individualism, decency,  love for the fellow man, and a respect for family and nation.Walt eventually ascended to godhood himself but not before leaving behind the Park, heaven on earth, for his followers to care for. Since then, the Phantasmics have acted as the stewards for Walt’s legacy in the form of the Park, and they strive to keep his vision of America alive.;;;;;;;;;;;;;x
IMAGINEER;Imagineer;;;;;;;;;;;;;x
GOD_CHAIRMAN;Chairman;;;;;;;;;;;;;x
GOD_CHAIRWOMAN;Chairwoman;;;;;;;;;;;;;x
GOD_AMERICA;America;;;;;;;;;;;;;x
GOD_WALT;Walt;;;;;;;;;;;;;x
GOD_NINE_OLD_MEN;The Nine Old Men;;;;;;;;;;;;;x
GOD_THE_LEGENDS;The Legends;;;;;;;;;;;;;x
GOD_THE_MOUSE;The Mouse;;;;;;;;;;;;;x
GOD_THE_DREAMER;The Dreamer;;;;;;;;;;;;;x
WAR_EXPANSION;Acquisition;;;;;;;;;;;;;x
THE_ARCHIVES;The Archives;;;;;;;;;;;;;x
STUDIO_OF;Studio of;;;;;;;;;;;;;x
blacklisted;Blacklisted;;;;;;;;;;;;;x
disney_adult;Disney Adult;;;;;;;;;;;;;x
blacklisted_desc;Joseph Bonesworth is Blacklisted from Freddy Fazbear's after attempting to marry Chica;;;;;;;;;;;;;x
disney_adult_desc;n a chilling, enigmatic sequence, these fragmented verses weave a haunting narrative. An eerie atmosphere unfolds as the instructions demand attention and obedience, hinting at a world of concealed intentions and ominous implications. With phrases like "Welcome to the circus," "Power down, Are you feeling nervous?" and "We all scream for ice cream," a disconcerting sense of foreboding permeates the scene, hinting at a hidden agenda. The verses speak of manipulation, a plea to serve, and an unsettling shift in roles, wherein one takes the place of another, suggesting a mysterious and unsettling power play. The repeated motif of being 'below the surface' in a place 'built without purpose' implies a deeper, darker layer to this cryptic scenario. Themes of control, deception, and an ominous unknown presence pervade these enigmatic lines, leaving an unsettling impression on the reader.;;;;;;;;;;;;;x
CTT_ACQUISITIONS_UNLOCKED;The Era of Acquisitions has Begun\n;;;;;;;;;;;;;x
EVTDESC_acquisition_campaign;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe word of [Root.Religion.GetHighGodName] must be brought to these socialist heathens!;;;;;;;;;;;;x
EVTDESC_acquisition_campaign_pagan;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the uncivilized barbarians!\n\nThese silly symphonies will soon know the truth of [Root.Religion.GetHighGodName]!;;;;;;;;;;;;x
EVTDESC_acquisition_campaign_walt;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] villians in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nThey will render unto us what is ours, and then some!;;;;;;;;;;;;x
EVTNAME_disneys_america;Waltney's America;;;;;;;;;;;;;x
EVTDESC_haymarket;Haymarket, a small town of great importance to the Phantasmic faithful is under the neglectful care of idiosyncratics. Long ago, the heirs to Walt attempted to conquer Haymarket but were repelled by natives. With the loss of Californian provinces the Chairman of the Mouse is calling for all Phantasmics to help in new Acquisitions for territory arou.;;;;;;;;;;;;;x
EVTOPTA_haymarket;To infinity and beyond!;;;;;;;;;;;;;x
EVTOPTB_haymarket;It's a small world after all,;;;;;;;;;;;;;x
EVTOPTC_haymarket;You poor, simple fools.;;;;;;;;;;;;;x

#Renaissancist
renaissancist;Renaissancist;;;;;;;;;;;;;x
renaissancist_DESC;Renaissancist is a faith that branched off of Phantasmic, claiming the eponymous Eisner as their prophet rather than Walt. The Renaissancists claim that Eisner brought about a Golden Age to America superior to even Walt’s efforts. Eisner’s parables are actually accepted generally by mainstream Phantasmics, but the primary difference between the two besides their choice of prophet is their method of expansion. Renaissancists prefer aggressive expansion and acquisition.versus the proselytization and preservation advocated by Phantasmics.;;;;;;;;;;;;;x
GOD_EISNER;Eisner;;;;;;;;;;;;;x
GOD_IGER;Iger;;;;;;;;;;;;;x

#Forester
forester;Forester;;;;;;;;;;;;;x
