
select_anglican_patron_saint;Choose a Patron Saint;;;;;;;;;x
select_anglican_patron_saint_desc;An ancient tradition in the Church, dating back to both Roman and Eastern Churches. This tradition still persists within the circles of High Church Anglicans.;;;;;;;;;x
AoM.101;Choose a Patron Saint;;;;;;;;;x
EVTDESC_anglican__patron_saints_1;An ancient tradition in the Church, it was not native to the Anglican Church, but after the Event was imported into the High Church Tradition by Catholics. Usually taken upon reaching Adulthood, this rite is one of giving veneration to a particular saint...;;;;;;;;;x
EVOTPA_high_anglican_1;I shall choose Saint Joseph!;;;;;;;;;x
TXT_high_anglican_saint_joseph;Saint Joseph is the patron saint of all Canada, his greatest Shrine lies in Monteal.;;;;;;;;;x
high_anglican_saint_joseph;Saint Joseph;;;;;;;;;x
EVOTPB_high_anglican_1;Saint Newman, blessed Unifier is who I shall venerate...;;;;;;;;;x
TXT_high_anglican_saint_newman;Saint Newman is a great saint, who restored Church Unity between Rome and the Anglican Church.;;;;;;;;;x
high_anglican_saint_newman;Saint Newman the Unifier;;;;;;;;;x
EVOTPC_high_anglican_1;I shall venerate Saint Cranmer the Reformer.;;;;;;;;;x
TXT_high_anglican_saint_cranmer;Saint Cranmer is seen as a great reformer of the Church.;;;;;;;;;x
high_anglican_saint_cranmer;Saint Cranmer the Unifier;;;;;;;;;x
EVOTPD_high_anglican_1;I shall venerate the Saint King Charles;;;;;;;;;x
TXT_high_anglican_saint_charles;Saint King Charles was a holy King and martyr for the faith.;;;;;;;;;x
high_anglican_saint_charles;Saint King Charles;;;;;;;;;x

EVTOPTA_AoM.102;May my patron guide me!;;;;;;;;;x

AoM.102;Emulating Saint Joseph;;;;;;;;;x
EVTDESC_AoM.102;My Patron Saint, Saint Joseph is famed for his diligence to the Holy Family. I should strive to be more dutiful like him.;;;;;;;;;x

AoM.103;Emulating Saint Newman;;;;;;;;;x
AoM.103_desc;Saint Newman was a wise, holy Priest and Cardinal, Saint Newman pointed the way to restoring communion between the Anglican and Roman Churches.;;;;;;;;;x

AoM.104;Emulating Saint Cranmer;;;;;;;;;x
AoM.104_desc;Saint Cranmer is considered wise and learned, and a great reformer of the holy church before being put to a martyr's death by tyrants.;;;;;;;;;x
EVTOPTA_AoM.102;I shall strive to be like him!;;;;;;;;;x
EVTOPTB_AoM.102;Books? who needs those!;;;;;;;;;x

AoM.105;Emulating Saint King Charles;;;;;;;;;x
EVTDESC_AoM.105;Saint King Charles was a great warrior, and a holy King who was tragically betrayed into the hands of heretics and put to death much like Our Lord.;;;;;;;;;x

AoM.106;Abandoning the High Church;;;;;;;;;x
EVTDESC_AoM.106;Since I no longer follow the ways of the High Anglican Church, I have no reason to continue my veneration to my Patron Saint.;;;;;;;;;x
EVTOPTC_AoM.102;I no longer need them.;;;;;;;;;x





bible_study;Go on a Bible retreat;;;;;;;;;x
bible_study_desc;A common tradition among Low Church Anglicans is that of Bible retreats, these are 3 day undertakings in which a devout Anglican intensely studies the Bible.;;;;;;;;;x
AoM.200;Going on a Bible retreat;;;;;;;;;x
EVTDESC_bible_study_1;Going on a Bible Retreat is an ancient tradition of Low Church Anglicans, the person goes on an intense three day Bible study. These often are said to help in growing in piety and virtue.;;;;;;;;;x
studying_bible;Studying The Bible;;;;;;;;;x
EVTOPTA_bible_study_1;May the Lord guide me.;;;;;;;;;x
AoM.201;Finished Bible Retreat;;;;;;;;;x
EVTDESC_bible_study_2;Having compeleted my Bible Retreat I had a spiritually renewing experience, and feel I've come away with greater wisdom...;;;;;;;;;x
EVTOPTA_bible_study_2;Jesus Bless Me!!!;;;;;;;;;x
