#Eastern Christianity, Orthodoxy, Old Believers, Syriacs, and Armenians

celebrate_matagh;Celebrate Matagh;;;;;;;;;;;;;x
celebrate_matagh_desc;Let us exalt God with the slaughter of an animal.;;;;;;;;;;;;;x
change_apostolic_branch;Change Apostolic School;;;;;;;;;;;;;x
change_apostolic_branch_desc;Take this decision to change your religious school of thought.;;;;;;;;;;;;;x
TXT_armenian_apostolic;Perform the Matagh.;;;;;;;;;;;;;x

celebrated_matagh;Celebrated Matagh;;;;;;;;;;;;;x
celebrated_matagh_desc;This person has celebrated Matagh.;;;;;;;;;;;;;x
meat_of_rooster;Slain a Rooster;;;;;;;;;;;;;x
meat_of_rooster_desc;This person has slaughtered a rooster for Matagh.;;;;;;;;;;;;;x
meat_of_ram;Slain a Ram;;;;;;;;;;;;;x
meat_of_ram_desc;This person has slaughtered a ram for Matagh.;;;;;;;;;;;;;x
meat_of_bull;Slain a Bull;;;;;;;;;;;;;x
meat_of_bull_desc;This person has slaughtered a bull for Matah.;;;;;;;;;;;;;x

celebrate_matagh;Celebrate Matagh;;;;;;;;;;;;;x
celebrate_matagh_desc;Celebrate Matagh;;;;;;;;;;;;;x

#Which Animal will you slay
EVTDESCarmenian_apostolic.1;Matagh is a time-honored tradition, just as Abraham sacrificed the ram on Mount Moriah to give thanks to the Lord now I will do the same. It is a gift to God through giving alms to the poor by distributing the meat of the donated animal.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.1;I will go with a pair of doves.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.1;I will go with a rooster.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.1;I will go with a ram.;;;;;;;;;;;;;x
EVTOPTDarmenian_apostolic.1;I will go with a bull.;;;;;;;;;;;;;x

#Decide who leads the Sacrifice #1
#armenian_apostolic.2;By your own hand or not;;;;;;;;;;;;;x
EVTDESCarmenian_apostolic.2;Traditionally the Matagh is carried out the organizer but many find the thought of killing an animal with their own hands unappealing. One can either participate in the sacrifice personally who push the burden onto a servant. Though not everyone is able to partake the Matagh even if they are willing, women are barred from participating in the slaughter of the animal. While technically not considered a Matagh, women are able to participate in a similar celebration with doves but there is no killing of animals. Since matagh is an offering to God, a crippled and sick animal cannot be sacrificed, since it is customary to offer gifts to God, both material and spiritual, pure, immaculate, selected and best, from honest earnings.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.2;I will participate in the celebration myself.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.2;I will have a female servant lead the celebration.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.2;As a male I am unable to perform the "Matagh" with doves.;;;;;;;;;;;;;x

#Decide who leads the Sacrifice #2
#armenian_apostolic.8;By your own hand or not;;;;;;;;;;;;;x
EVTDESCarmenian_apostolic.8;Traditionally the Matagh is carried out the organizer but many find the thought of killing an animal with their own hands unappealing. One can either participate in the sacrifice personally who push the burden onto a servant. Though not everyone is able to partake the Matagh even if they are willing, women are barred from participating in the slaughter of the animal. Since matagh is an offering to God, a crippled and sick animal cannot be sacrificed, since it is customary to offer gifts to God, both material and spiritual, pure, immaculate, selected and best, from honest earnings.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.8;I will participate in the sacrifice myself.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.8;I will have my servant make the sacrifice.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.8;I will enlist a male servant to carry out the Matagh.;;;;;;;;;;;;;x

#Decide who leads the Sacrifice #3
#armenian_apostolic.9;By your own hand or not;;;;;;;;;;;;;x
EVTDESCarmenian_apostolic.9;Traditionally the Matagh is carried out the organizer but many find the thought of killing an animal with their own hands unappealing. One can either participate in the sacrifice personally who push the burden onto a servant. Though not everyone is able to partake the Matagh even if they are willing, women are barred from participating in the slaughter of the animal. Since matagh is an offering to God, a crippled and sick animal cannot be sacrificed, since it is customary to offer gifts to God, both material and spiritual, pure, immaculate, selected and best, from honest earnings.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.9;I will participate in the sacrifice myself.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.9;I will have my servant make the sacrifice.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.9;I will enlist a male servant to carry out the Matagh.;;;;;;;;;;;;;x

#Decide who leads the Sacrifice #4
#armenian_apostolic.10;By your own hand or not;;;;;;;;;;;;;x
EVTDESCarmenian_apostolic.10;Traditionally the Matagh is carried out the organizer but many find the thought of killing an animal with their own hands unappealing. One can either participate in the sacrifice personally who push the burden onto a servant. Though not everyone is able to partake the Matagh even if they are willing, women are barred from participating in the slaughter of the animal. Since matagh is an offering to God, a crippled and sick animal cannot be sacrificed, since it is customary to offer gifts to God, both material and spiritual, pure, immaculate, selected and best, from honest earnings.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.10;I will participate in the sacrifice myself.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.10;I will have my servant make the sacrifice.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.10;I will enlist a male servant to carry out the Matagh.;;;;;;;;;;;;;x


########################### 

#You release the doves
EVTDESCarmenian_apostolic.3;You have decided to release the doves yourself. While the ritual slaughter of roosters, rams and bulls falls under Matagh. The releasing of the doves does not as there is now sharing of alms with the poor or consecration of salt. It is still considered a holy ceremony and as your release the doves they fly up above you and fly off into the distance.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.3;Praise God!;;;;;;;;;;;;;x

#A servant releases the doves
EVTDESCarmenian_apostolic.4;You have decided to let a female servant release the doves. While the ritual slaughter of roosters, rams and bulls falls under Matagh. The releasing of the doves does not as there is now sharing of alms with the poor or consecration of salt. It is still considered a holy ceremony and as your release the doves they fly up above you and fly off into the distance.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.4;Praise God!;;;;;;;;;;;;;x

#You slaughter the rooster
EVTDESCarmenian_apostolic.14;You have decided to lead the ceremony yourself, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the rooster to the doorsteps of a church you perform the Matagh, slitting its throat.;;;;;;;;;;;;;x
