mama_tatda;Mama Tada;;;;;;;;;;;;;x
mama_tatda_DESC;The Mama Tatda’s followers claim that, before the Event, their beloved Mother María and their beloved Father Jesús, descended from the sky in a fiery ironclad chariot. God had decided to punish the natives for their sinful ways, but through Mary they were given a second chance, and chose Besikö Kruningrobu and her daughter as prophets for the Salvation of all the indigenous people of the Americas. They commanded their faithful to live without excesses and promised deliverance from the White Demons. They worship God through a ritual chant and dance called “Cantele”.;;;;;;;;;;;;;x
GOD_MAMA;Mama;;;;;;;;;;;;;x
GOD_MARIA_VIRGEN;Virgen María;;;;;;;;;;;;;x
GOD_TATA;Tatda;;;;;;;;;;;;;x
WHITE_MAN;Los Demonios Blancos;;;;;;;;;;;;;x
d_mama_tatda;Church of Besikö;;;;;;;;;;;;;x
MAMA_PROPHETESS;Profetisa;;;;;;;;;;;;;x
MAMA_PROPHET;Profeta;;;;;;;;;;;;;x

claim_besiko;Claim to be a Child of Besikö;;;;;;;;;;;;;x
claim_besiko_desc;The Great Prohpetess of Old's Children in time became many, While many may make such claims only those of resounding piety. To claim to be a Child of Besikö means you are naturally a rightful Profeta.;;;;;;;;;;;;;x

guna;Guna;;;;;;;;;;;;;x
guaymi;Guaymi;;;;;;;;;;;;;x
