###ANSI###
epcot_government;EPCOT;;;;;;;;;;;;;x
epcot_government_desc;EPCOT stands for Experimental Prototype Community of Tomorrow, a blueprint for the future established by the prophet, Walt. Walt established EPCOT as a utopian autocratic system of governance, a living example for what America should be. Phantasmics believe in EPCOT as a community of tomorrow, a showcase to the world for the ingenuity and imagination of America.;;;;;;;;;;;;;x

EVTNAMEdisneymod.3;Orange Reconquered;;;;;;;;;;;;;x
EVTDESCdisneymod.3;After centuries of decay and misuse by the uncultured and unimaginative tyrants of California, the remnants of the first Magic Kingdom have been returned to us! Here our elders may relive the memories of the Old World, and here our chuldfen may savor the promise of the future. While most of the Chairman’s first triumph was destroyed in the days after the Event, there is a last, powerful testament to his imagination left, saved by a wise follower of a prophet in the days just by the Event—the Sword in the Stone! While it may take years, someday we may restore it to it’s former glory.Gaul, long thought forever lost to Roman rule, has submitted to the [Root.GetTitle] and been incorporated back into the Empire. The province has changed much since Caesar campaigned in this land over a thousand years ago, but no longer will it suffer under the rule of upstart kings or false emperors.;;;;;;;;;;;;;x
EVTOPTAdisneymod.3;To all that come to this happy place—welcome.;;;;;;;;;;;;;x

EVTNAMEdisneymod.4;Waltney's America;;;;;;;;;;;;;x
EVTDESCdisneymod.4;While the lands of Haymarket were never conquered by our forebears, we have finally wrested control over the Capital from the sons of those covetous enemies of progress, who have led America to ruin by worshipping their statues and crosses. With the capital in hand and more importantly, the dreams of our fathers fulfilled, we can finally begin to lead America into a true age of progress. The lives lost on this battlefield may now be honored in the manner that befits them—by building another mighty park atop their graves, to honor their sacrifices for all time;;;;;;;;;;;;;x
EVTOPTAdisneymod.4;Let us cherish it, and pass it onto our children—this American Dream.;;;;;;;;;;;;;x

EVTNAMEdisneymod.5;The Windy City Conquered;;;;;;;;;;;;;x
EVTDESCdisneymod.5;At last, we have finally reclaimed the birthplace of the Founder, the man who wished upon the first star. While it took some research to find it, his birth home has been found—a small, dilapidated old house, centuries old and almost destroyed by the ravages of the Event. The faithful have already been flocking here, leaving art for him to weave into reality in the Tomorrow. We may begin rebuilding his old home and bringing Chicago into the Great, Big, Beautiful Tomorrow.;;;;;;;;;;;;;x
EVTOPTAdisneymod.5;May we reach for the stars, so if we fall, we land on a cloud.;;;;;;;;;;;;;x
d_the_renaissancist_mouse;The New Mouse;;;;;;;;;;;;;x

#Phantasmic
phantasmic;Phantasmic;;;;;;;;;;;;;x
phantasmic_DESC;Phantasmic is a faith based upon a reverence for America and its foremost prophet, Walt. Through his parables and remarkable magical projections, Walt preached individualism, decency, love for the fellow man, and a respect for family and nation. Walt eventually ascended to godhood himself but not before leaving behind the Park, heaven on earth, for his followers to care for. Since then, the Phantasmics have acted as the stewards for Walt’s legacy in the form of the Park, and they strive to keep his vision of America alive.;;;;;;;;;;;;;x
IMAGINEER;Imagineer;;;;;;;;;;;;;x
GOD_CHAIRMAN;Chairman;;;;;;;;;;;;;x
GOD_CHAIRWOMAN;Chairwoman;;;;;;;;;;;;;x
GOD_AMERICA;America;;;;;;;;;;;;;x
GOD_WALT;Walt;;;;;;;;;;;;;x
GOD_NINE_OLD_MEN;The Nine Old Men;;;;;;;;;;;;;x
GOD_THE_LEGENDS;The Legends;;;;;;;;;;;;;x
GOD_THE_MOUSE;The Mouse;;;;;;;;;;;;;x
GOD_THE_DREAMER;The Dreamer;;;;;;;;;;;;;x
WAR_EXPANSION;Acquisition;;;;;;;;;;;;;x
THE_ARCHIVES;The Archives;;;;;;;;;;;;;x
STUDIO_OF;Studio of;;;;;;;;;;;;;x
blacklisted;Blacklisted;;;;;;;;;;;;;x
disney_adult;Mouseketeer;;;;;;;;;;;;;x
blacklisted_desc;This character is Blacklisted, separated from Phantasmics for good..;;;;;;;;;;;;;x
disney_adult_desc;This character is Mouseketeer, a crusader for Phantasmics.;;;;;;;;;;;;;x
CTT_ACQUISITIONS_UNLOCKED;The Era of Acquisitions has Begun\n;;;;;;;;;;;;;x
EVTDESC_acquisition_campaign;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe word of [Root.Religion.GetHighGodName] must be brought to these socialist heathens!;;;;;;;;;;;;x
EVTDESC_acquisition_campaign_pagan;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the uncivilized barbarians!\n\nThese silly symphonies will soon know the truth of [Root.Religion.GetHighGodName]!;;;;;;;;;;;;x
EVTDESC_acquisition_campaign_walt;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] villians in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nThey will render unto us what is ours, and then some!;;;;;;;;;;;;x
EVTNAME_disneys_america;Waltney's America;;;;;;;;;;;;;x
EVTDESC_haymarket;Haymarket, a small town of great importance to the Phantasmic faithful is under the neglectful care of idiosyncratics. Long ago, the heirs to Walt attempted to conquer Haymarket but were repelled by natives. With the loss of Californian provinces the Chairman of the Mouse is calling for all Phantasmics to help in new Acquisitions for territory arou.;;;;;;;;;;;;;x
EVTOPTA_haymarket;To infinity and beyond!;;;;;;;;;;;;;x
EVTOPTB_haymarket;It's a small world after all,;;;;;;;;;;;;;x
EVTOPTC_haymarket;You poor, simple fools.;;;;;;;;;;;;;x

experience_park_ride;Experience Park Ride;;;;;;;;;;;;;x
experience_park_ride_desc;Through the aid of the MKUltra method pioneered by the prophet Walt, you may experience a ride...;;;;;;;;;;;;;x

EVTDESC_park_ride_1;You have decided to get on a ride, consuming mushrooms to experience the future as Walt saw it. Will you get on the ride or will you falter?;;;;;;;;;;;;;x
EVTOPTA_park_ride_1;She's got a ticket to ride!;;;;;;;;;;;;;x
EVTOPTB_park_ride_1;No thanks!;;;;;;;;;;;;;x

EVTNAME_park_ride_2;The Ride;;;;;;;;;;;;;x
EVTDESC_park_ride_2_haunted_mansion;Your ride approaches the Haunted Mansion, a dark and foreboding house. As you enter, a deep voice introduces himself as the Ghost Host in the foyer. You enter darkness, and you see a face, it disappears just as quickly.;;;;;;;;;;;;;x
EVTDESC_park_ride_2_pirates;Your ride passes over water through a tunnel and exit, cannonballs whistle overhead and explosions throw water into the air:  a fierce battle between a marauding pirate galleon, the Wicked Wench, and a fortress is in full swing. A town is ravaged by pirates, and the pirates set it aflame, filling the night air with an orange glow.;;;;;;;;;;;;;x
EVTDESC_park_ride_2_splash_mountain;Your ride floats down a river through a meadow as a voice tells you the story of Br'er Rabbit, a mischievous trickster who leaves his home in search of adventure. Br'er Rabbit is chased by Br'er Fox and Br'er Bear, and they begin to chase you too.;;;;;;;;;;;;;x
EVTDESC_park_ride_2_small_world;Your ride floats down a river and you are surrounded by hundreds of children, dressed in the clothes of many nations. They begin to sing a song of global peace.;;;;;;;;;;;;;x

EVTOPT_park_ride_2_haunted_mansion;There's no turning back now.;;;;;;;;;;;;;x
EVTOPT_park_ride_2_pirates;Savvy?;;;;;;;;;;;;;x
EVTOPT_park_ride_2_splash_mountain;Everybody's got a laughing place!;;;;;;;;;;;;;x
EVTOPT_park_ride_2_small_world;It's a small world.;;;;;;;;;;;;;x

EVTDESC_park_ride_3_haunted_mansion;Your ride goes through the halls of the Haunted Mansion, going past a dinner of ghosts with poltergeists. The ghosts sing in high voices of their past lives, and you grow afraid, very afraid.;;;;;;;;;;;;;x
EVTDESC_park_ride_3_pirates;Your ride floats through the waters, past more pirate ships and the burning town. Pirates swing from their ships and attempt to snatch you from the ride, but they miss by a hair. You float away, happy to have kept your life.;;;;;;;;;;;;;x
EVTDESC_park_ride_3_splash_mountain;Your ride goes further as Br'er Fox and Br'er Bear chase you down the river. They eventually fade into the distance, and Br'er Rabbit regails you with more stories of his adventures.;;;;;;;;;;;;;x
EVTDESC_park_ride_3_small_world;Your ride floats further down the river as hundreds of the children continue to sing about world peace and the wonders of the many nations of the world. Their voices eventually begin to blend into one: one world, one people, one mind.;;;;;;;;;;;;;x

EVTOPT_park_ride_3_haunted_mansion;Spooky!;;;;;;;;;;;;;x
EVTOPT_park_ride_3_pirates;A Pirate's Life for Me!;;;;;;;;;;;;;x
EVTOPT_park_ride_3_splash_mountain;Zip-a-Dee-Doo-Dah!;;;;;;;;;;;;;x
EVTOPT_park_ride_3_small_world;It's a small world, after all!;;;;;;;;;;;;;x

EVTDESC_park_ride_4_haunted_mansion;Your ride exits the Haunted Mansion, you are unafraid.;;;;;;;;;;;;;x
EVTDESC_park_ride_4_pirates;Your ride floats away from the pirates. You are savvy.;;;;;;;;;;;;;x
EVTDESC_park_ride_4_splash_mountain;Your ride goes down and you are splashed. You are in your happy place.;;;;;;;;;;;;;x
EVTDESC_park_ride_4_small_world;Your ride floats down the river, and the singing of the children finally fades into the distance. You realize that this really is a small world, after all.;;;;;;;;;;;;;x

EVTOPT_park_ride_4;My ride is over.;;;;;;;;;;;;;x

#Renaissancist
renaissancist;Renaissancist;;;;;;;;;;;;;x
renaissancist_DESC;Renaissancist is a faith that branched off of Phantasmic, claiming the eponymous Eisner as their prophet rather than Walt. The Renaissancists claim that Eisner brought about a Golden Age to America superior to even Walt’s efforts. Eisner’s parables are actually accepted generally by mainstream Phantasmics, but the primary difference between the two besides their choice of prophet is their method of expansion. Renaissancists prefer aggressive expansion and acquisition.versus the proselytization and preservation advocated by Phantasmics.;;;;;;;;;;;;;x
GOD_EISNER;Eisner;;;;;;;;;;;;;x
GOD_IGER;Iger;;;;;;;;;;;;;x
