#########Ra
#GFX_evt_flaming_skull
#GFX_evt_gaian_tribal #for Joshuan
#GFX_glorian_feast
#GFX_evt_ruina_imperii

EVTTITLE_rkinvestigate;The Angeleno Crown;;;;;;;;;;;;;x
EVTDESC_raymond1;LongXXXXXXXXXXXXXXAGO;;;;;;;;;;;;;x
EVTOPT_rincontent;LongXXXXXXXXXXXXXXAGO;;;;;;;;;;;;;x
EVTOPT_rkcontent;LongXXXXXXXXXXXXXXAGO;;;;;;;;;;;;;x

EVTDESC_raymond2;NEEDAWIFEPROBALYXXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_rnmarry;NEEDAWIFEPROBALYXXXXXXXXX;;;;;;;;;;;;;x

EVTTITLE_rnbajaprincess;The Caballero Princess;;;;;;;;;;;;;x
EVTDESC_raymond3;XXXXXXXTHECABELLEROPRINCESSXXXXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_rnmarry1;XXXXXXXTHECABELLEROPRINCESSXXXXXXXXXXXX;;;;;;;;;;;;;x

EVTTITLE_raymondjoshuatree;The Countess of Joshua Tree;;;;;;;;;;;;;x
EVTDESC_raymond4;XXXXXXXXXXXXXXXXXXXJOSHUAYTREEEXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_raymondmarry2;XXXXXXXXXXXXXXXXXXXJOSHUAYTREEEXXXXXXXXX;;;;;;;;;;;;;x

EVTTITLE_rnbakersfieldnoble;Ancient Ties;;;;;;;;;;;;;x
EVTDESC_raymond46;XXXXXXXXXXXXXXXXXXXBAKERSFIEDLXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_rnmarry46;XXXXXXXXXXXXXXXXXXXBAKERSFIEDLXXXXXXXXX;;;;;;;;;;;;;x

EVTTITLE_raymondpeasant;XXXXXXXXXXXXXXXXXXXXXXCHOLITABONITAXXXXXXXXX;;;;;;;;;;;;;x
EVTDESC_raymond5;XXXXXXXXXXXXXXXXXXXXXXCHOLITABONITAXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_raymondmarry3;XXXXXXXXXXXXXXXXXXXXXXCHOLITABONITAXXXXXXXXX;;;;;;;;;;;;;x
EVTOPT_raymondmarryno;XXXXXXXXXXXXXXXXXXXXXXCHOLITABONITAXXXXXXXXX;;;;;;;;;;;;;x


EVTDESC_raymond6;XXXXXXXXXXXXXXXQUEERGOOSEXXXXXXXXXXXXXXXXXX;;;;;;;;;;;;;x
