#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
iurhuri;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
iurhuri_desc;The founder of the Iurhuri dynasty, said to be descended from the union of the Sun and the Moon. He carved his own kingdom west to Mexico.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
cervantes;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
cervantes_desc;Sansón Cervantes, known as the Mad Crusader of Dios, rallied El Bajío to a single banner under the Benemérito to defend Mexico from northern invasion.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
high_king_texan_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_king_tejano_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_king_texaner_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_king_czexan_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
;;;;;;;;;;;;;;
high_queen_texan_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_queen_tejano_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_queen_texaner_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
high_queen_czexan_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
;;;;;;;;;;;;;;
texas_bloodline_desc;This ruler has reformed the High Kigdom of Texas, claiming the legacy of the first High Queen Elisabeth Cameron.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
tex_texarkana_male;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
tex_texarkana_male_desc;This ruler made history by forming the Empire of Texarkana, a Catholic bulwark to rival the Holy Columbian Confederacy.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
tex_texarkana_female;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;
tex_texarkana_female_desc;This ruler made history by forming the Empire of Texarkana, a Catholic bulwark to rival the Holy Columbian Confederacy.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ca_texas_building_1;Cowboy dormitories;;;;;;;;;;;;;
ca_texas_building_2;Cowboy dormitories;;;;;;;;;;;;;
ca_texas_building_3;Cowboy dormitories;;;;;;;;;;;;;
ca_texas_building_4;Cowboy dormitories;;;;;;;;;;;;;
ca_texas_building_desc;The High Kingdom of Texas attracts cowboys from all over the American Wild West. Provided dormitories are therefore necessary to allow them to rest and move in.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ct_texas_building_1;Saloon;;;;;;;;;;;;;
ct_texas_building_2;Saloon;;;;;;;;;;;;;
ct_texas_building_3;Saloon;;;;;;;;;;;;;
ct_texas_building_4;Saloon;;;;;;;;;;;;;
ct_texas_building_desc;Saloons are usual meeting and entertainment places for cowboys, allowing them to have fun and rest.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
bloodline_effect_texas_building;Have access to special Texan buildings for §YCastles and Cities§.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
cristo_rey_opinion;Cristo Rey Opinion;;;;;;;;;;;;;
czexan_opinion;Czexan opinion;;;;;;;;;;;;;
