#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hold_sol_feast;Hold Ceremony of the Sun;Organiser la fête du Soleil;Feiert ein Fest der Sonne;;Mantener el Festival del Sol;;;;;;;;;x
hold_sol_feast_desc;Hold a Ceremony of the Sun with your vassals and courtiers, celebrating the Messiahs and paying homage to the Sol Invicto, the Giver of Light and Justice.;Organiser une fête du Soleil avec vos vassaux et vos courtisans, afin de célébrer le solstice d'été et d'honorer Zun, celui qui donne la Lumière et la Justice.;Haltet mit Euren Vasallen und Höflingen ein Fest der Sonne ab, bei dem die Sommersonnenwende gefeiert und Zun, dem Bringer des Lichts, und der Gerechtigkeit gehuldigt wird.;;Mantener un Festival del Sol con tus vasallos y cortesanos, celebrando el solsticio de verano y rendir homenaje a Zun, el que Imparte Luz y Justicia.;;;;;;;;;x
holding_sol_feast;Holding Ceremony of the Sun;Organiser le festival du Soleil;Das Fest der Sonne wird gefeiert;;Manteniendo el Festival del Sol;;;;;;;;;x
EVTDESC_SOL_4100;You have begun preparations for the Ceremony of the Sun. You send out messengers with invitations to your vassals, expecting all to come and honor [Root.Religion.GetRandomGodName].;Vous avez entrepris les préparatifs du festival du Soleil. Vous envoyez les invitations à vos vassaux, espérant qu'ils viennent tous afin d'honorer [Root.Get_le_HighGod].;Ihr habt mit den Vorbereitungen zum Fest der Sonne begonnen. Ihr schickt Boten mit Einladungen an Eure Vasallen und erwartetet, dass alle kommen, um [Root.Religion.GetRandomGodName] zu ehren.;;Has empezado los preparativos para el Festival del Sol. Envías mensajeros con invitaciones para tus vasallos, esperas que todos vengan y honren a [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTA_SOL_4100;Come all to celebrate His Light!;Venez célébrer Sa Lumière !;Kommt alle, um Sein Licht zu feiern!;;¡Vayamos todos a celebrar Su Luz!;;;;;;;;;x
EVTDESC_SOL_4101;Dear vassal,\nI hereby invite you to attend the celebration of the Ceremony of the Sun at [From.Capital.GetName].\n\nYour Liege,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] vassal[Root.Get_E],\nJe vous invite à venir célébrer le festival du Soleil à [From.Capital.GetName].\n\nVotre [From.GetLordLady] lige,\n[From.GetTitledName];Verehrter Vasall,\nhiermit lade ich Euch zur Feier des Fests der Sonne [From.Capital.GetName] ein.\n\nEuer Lehnsherr\n[From.GetTitledName];;Querido vasallo,\nI por la presente te invito a asistir a la celebración del Festival del Sol en [From.Capital.GetName].\n\nTu Señor Feudal,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_SOL_4101;I look forward to it!;J'attends cela avec impatience !;Ich freue mich darauf!;;¡Estoy impaciente!;;;;;;;;;x
EVTDESC_SOL_4102;Your vassal, [From.GetTitledName], has refused your invitation to the Ceremony of the Sun.;[From.Get_Le_TitledName], votre vassal[From.Get_E], a refusé votre invitation au festival du Soleil.;Euer Vasall [From.GetTitledName] hat Eure Einladung zum Fest der Sonne abgelehnt.;;Vuestro vasallo, [From.GetTitledName], ha rechazado vuestra invitación para el Festival del Sol.;;;;;;;;;x
EVTDESC_SOL_4120;The Ceremony of the Sun is about to start, and in accordance with tradition, the festivities begin on a sunny morning. Large crowds have gathered around, and priests walk among them distributing blessings in the name of [Root.Religion.GetRandomGodName].;La fête du Soleil commence bientôt et, selon la tradition, les festivités doivent commencer par un matin ensoleillé. Des foules se sont assemblées et des prêtres les rencontrent, distribuant des bénédictions au nom [Root.Get_du_HighGod].;Das Fest der Sonne soll gleich beginnen und gemäß der Tradition nehmen die Festlichkeiten an einem sonnigen Morgen ihren Anfang. Viele Menschen haben sich versammelt und die Priester gehen herum und spenden den Segen im Namen von [Root.Religion.GetRandomGodName].;;El Festival del Sol está a punto de empezar, y de acuerdo con la tradición, los festejos empiezan una mañana soleada. Se han concentrado grandes multitudes en los alrededores y los sacerdotes caminan entre la gente repartiendo bendiciones en el nombre de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTA_SOL_4120;Praise [Root.Religion.GetRandomGodName]!;Louons [Root.Religion.GetRandomGodName] !;Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡Alabar a [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC_SOL_4196;The Ceremony of the Sun is over for this time. [Root.Religion.GetRandomGodName] has been properly honored and the realm is looking forward to a bright future under His blinding gaze.;La fête du Soleil est terminé. [Root.Get_le_HighGod] a été honoré comme il se doit et le royaume est empreint d'espoir d'un futur meilleur sous Son regard brillant.;Das diesjährige Fest der Sonne ist vorbei. [Root.Religion.GetRandomGodName] ist gebührend geehrt worden und das Reich freut sich auf eine glänzende Zukunft unter Seinem blendenden Blick.;;Se ha terminado El Festival del Sol de esta edición. [Root.Religion.GetRandomGodName] ha sido honrado como es debido y el reino está deleitoso de un brillante futuro bajo Su mirada cegadora.;;;;;;;;;x
